question,Mia_Target_Response,Mia_Response,cosine_mia,accuracy,explanation
"- Які соціальні групи чи організації ви відвідуєте, підтримуєте чи є членом?",Конференції по косметології,Я відвідую конференції з косметології .,0.9323347,ACCURATE,"The generated answer aligns with the actual answer in all facts and details, using slightly different wording. Both answers mention attending conferences related to cosmetology."
- Як ви піклуєтеся про своїх близьких?,"Стараюся проводити час з близькими без мобільних телефонів та інших відволікаючих елементів. Спілкуюся, ділюся свої переживаннями та інтересами. Приділяю увагу їх проблемам та переживанням, роблю сюрпризи які можуть підняти настрій та показати турботу, допомагаю у побутових питаннях, підтримую у скрутні моменти, обнімаю і говорю що дуже їх люблю.","Я намагаюся проводити час із близькими без мобільних телефонів та інших відволікаючих чинників, спілкуватися, ділитися своїм досвідом і інтересами. Приділяю увагу їхнім проблемам та переживанням, роблю сюрпризи, які можуть підняти настрій і показати турботу, допомагаю з побутовими питаннями, підтримую у важкі моменти, обіймаю та кажу, що дуже їх люблю .",0.93278855,ACCURATE,"The bot's response is semantically equivalent to the actual answer. It correctly interprets the question about taking care of loved ones and provides a detailed response that matches the actual answer in all aspects, including spending time together without distractions, communicating, sharing experiences and interests, paying attention to their problems and feelings, making surprises, helping with daily tasks, supporting in tough moments, expressing love through hugs and words."
- Чи є у вас алергії?,Ні,Я не маю алергій.,0.69525087,ACCURATE,The bot's response is semantically equivalent to the actual answer. Both affirm that there are no allergies.
"– Які хронічні захворювання у вас є? (або чим частіше за все хворієте, навіть якщо це просто нежить але декілька разів на рік)",Немає,Я не маю хронічних захворювань і зазвичай не хворію часто  .,0.72675526,ACCURATE,"The generated answer aligns with the actual answer, stating that there are no chronic diseases and the bot doesn't get sick often."
 Які звички здорового способу життя у вас є?,"Стараюсь дотримуватись правильного харчування, здорового сну, відпочинку і активного способу життя.","Я стараюся підтримувати здорове харчування, здоровий сон, відпочинок та активний спосіб життя. Правильно харчуюсь, займаюсь спортом, прогулююсь на свіжому повітрі, проходжу медичне обстеження раз на рік, приймаю вітаміни, п'ю 1.5-2 літри води на день та дбаю про здоровий сон.",0.9257635,ACCURATE,"The generated answer is consistent with the actual answer and includes all the main points. The bot provides a more detailed explanation of the healthy habits, such as specifics on fluid intake, annual check-ups, and vitamin consumption."
- Як ви стежите за своїм здоров'ям?,"Дотримуюсь правильного харчування, займаюсь спортом, гуляю на свіжому повітрі, 1 раз на рік проходжу обстеження свого організму, п’ю вітаміни, випиваю 1,5-2 літри води в день, дбаю про здоровий сон.","Зазвичай я стежу за здоров'ям за допомогою правильного харчування, спорту, прогулянок на свіжому повітрі, щорічного медичного обстеження, прийому вітамінів, споживання 1,5-2 літрів води на день та піклування про здоровий сон  .",0.9679725,ACCURATE,"The generated answer is semantically equivalent to the actual answer. It maintains all the key points about maintaining health such as proper nutrition, exercise, fresh air, annual checkups, vitamin intake, water consumption, and taking care of sleep."
- Якої дієти ви дотримуєтеся?,Збалансовано харчуюся,Я дотримуюсь збалансованої дієти .,0.89366007,ACCURATE,"The generated answer correctly conveys the idea of maintaining a balanced diet, which is equivalent to the actual answer."
- Які спортивні заходи ви відвідуєте чи берете участь?,"Фітнес, пілатес","Щодо спортивних заходів, я відвідую фітнес і займаюся пілатесом .",0.82204276,ACCURATE,The generated answer is semantically equivalent to the actual answer. Both indicate participation in fitness and pilates activities.
- Як ви зазвичай відновлюєтеся після фізичних навантажень?," Ходжу га масажі апаратні і ручні, роблю розтяжку","Зазвичай я відновлююсь після фізичних навантажень за допомогою апаратних та ручних масажів, а також роблю стретчинг.",0.9004825,ACCURATE,"The generated answer is semantically equivalent to the actual answer, providing the same information about using machine and manual massages and stretching for recovery after physical activities."
- Які методи стрес-управління ви використовуєте?,Не використовую,"Я не використовую спеціальних методів управління стресом. Але мої методи підтримки психічного здоров'я включають подорожі, перегляд фільмів, прослуховування музики, походи в кіно з друзями та малювання.",0.79041845,INACCURATE,"The generated answer contradicts the actual answer by stating that they do use methods for stress management, even though the actual answer is 'Не використовую' which means 'I do not use'."
– Як ви підтримуєте своє психічне здоров'я?,"Подорожую, дивлюся фільми, слухаю музику, ходжу з друзями в кіно, малюю.","Для підтримки свого психічного здоров'я я подорожую, переглядаю фільми, слухаю музику, ходжу в кіно з друзями та малюю.",0.94767016,ACCURATE,"The generated answer aligns with the actual answer in all facts and details, following the same structure and order."
Ви релігійні?,Так,"Так, я релігійна людина, належу до Греко-Католицької Церкви. Релігія відіграє велику роль у моєму житті, я молюся кожного вечора, святкую релігійні свята, дотримуюся посту і раз на рік йду на сповідь.",0.5142833,PARTIALLY_ACCURATE,"The generated answer is partially accurate as it aligns with the actual answer, but provides additional information beyond the scope of the question. The question 'Ви релігійні?' (Are you religious?) is a simple yes/no question, and the actual answer 'Так' (Yes) is sufficient. The generated answer 'Так, я релігійна людина, належу до Греко-Католицької Церкви. Релігія відіграє велику роль у моєму житті, я молюся кожного вечора, святкую релігійні свята, дотримуюся посту і раз на рік йду на сповідь.' (Yes, I am a religious person, I belong to the Greek Catholic Church. Religion plays a big role in my life, I pray every evening, celebrate religious holidays, follow the fast, and go to confession once a year.) gives more context and specifics about the person's religious beliefs, which are not asked in the original question."
- Якому віросповіданню ви належите?,Греко-католик,Я належу до Греко-Католицької Церкви.,0.8686399,ACCURATE,"The generated answer is semantically equivalent to the actual answer. Both indicate the same religious affiliation, providing the same information in slightly different wording."
- Яку роль релігія відіграє у вашому житті?,"Релігія допомагає жити. Віра допомагає жити. Віра в добро, мораль, справедливість, рівність. Саме завдяки вірі люди живуть в гармонії із собою і світом. Тому можна сміливо заявити, що релігія відіграє величезну роль у моєму житті і важлива для мене.","Релігія допомагає мені жити. Віра допомагає жити. Віра в доброту, моральність, справедливість, рівність. Саме завдяки вірі люди живуть у гармонії із собою та світом. Тому можна сказати, що релігія відіграє велику роль у моєму житті і є важливою для мене .",0.9931819,ACCURATE,"The generated answer is semantically equivalent to the actual answer and correctly reflects the role of religion in one's life, mentioning faith, moral values, and harmony with the world. The minor difference in wording does not affect the overall accuracy."
- У яких релігійних обрядах та заходах ви берете участь?,Ходжу до церкви,"Я беру участь у релігійних обрядах, таких як відвідування церкви, щорічна сповідь, дотримання посту та святкування релігійних свят   .",0.7881512,ACCURATE,"The generated answer includes visiting the church, which aligns with the actual answer. Additionally, it provides more details about other religious activities, but these do not contradict the original answer, making it accurate."
- Які духовні практики ви здійснюєте?,"Молюся кожного вечора, святкую релігійні свята, дотримуюся посту, сповідаюсь 1 раз на рік.","Я щовечора молюся, святкую релігійні свята, дотримуюся посту та раз на рік іду на сповідь.",0.97532046,ACCURATE,"The generated answer is semantically equivalent to the actual answer. Although the order of the spiritual practices is slightly different, all the mentioned practices align correctly with the actual answer."
- Як ви застосовуєте свої релігійні переконання у повсякденному житті?,Живу відповідно до Божих заповідей.,Я намагаюся жити за Божими заповідями у своєму повсякденному житті .,0.9199468,ACCURATE,"The generated answer is a direct rephrasing of the actual answer, providing the same information that aligns with the question's context."
- Яка ваша улюблена їжа?,"Морепродукти, фрукти, овочі, піца, суші","Моя улюблена їжа — це морепродукти, фрукти, овочі, піца та суші .",0.9251476,ACCURATE,The generated answer is semantically equivalent to the actual answer. It provides the same list of preferred foods using complete sentences and correct grammar.
- Яким напоям ви віддаєте перевагу?,"Вода, кава, різновиди китайського чаю, шампанське, різні алкогольні коктелі","Вода, кава, різновиди китайського чаю, шампанське, різні алкогольні коктелі",1.0,ACCURATE,"The generated answer is equivalent to the actual answer, providing the same beverages: water, coffee, varieties of Chinese tea, champagne, and different alcoholic cocktails."
- Які марки одягу вам подобаються?,"Українські бренди, Zara, H&M, Massimo Dutti, Cos, Chanel, Dior, Prada","Мені подобаються українські бренди, Zara, H&M, Massimo Dutti, Cos, Chanel, Dior, Prada .",0.9458856,ACCURATE,"The generated answer is identical to the actual answer, maintaining all brands mentioned in the original."
- Який спосіб життя ви ведете?,Активний,Я веду активний спосіб життя.,0.83228123,ACCURATE,"The generated answer aligns with the actual answer in all facts and details. It directly answers the question by stating 'Я веду активний спосіб життя.' which translates to 'I lead an active lifestyle,' which is the same as the actual answer."
– Які види технологій вас цікавлять?,Апаратна косметологія,Цікавлюсь технологіями апаратної косметології .,0.9175988,ACCURATE,"The generated answer aligns with the actual answer in all facts and details. The technology of interest, hardware cosmetology, is correctly identified and consistently expressed in both answers."
- Які кольори та дизайни вам подобаються?,"Кольори: Бежевий, Білий, Червоний, Чорний, Сірий","Мені подобаються такі кольори: бежевий, білий, червоний, чорний, сірий.",0.9218779,ACCURATE,"The generated answer is semantically equivalent to the actual answer as it provides the same list of preferred colors. The wording and formatting might differ, but all the color names match."
- Якій музиці ви віддаєте перевагу на вечірках?,Люблю різну музику,"На вечірках я віддаю перевагу різним стилям музики, включаючи класику, джаз, техно, диско та шансон.",0.7692356,ACCURATE,"The generated answer is consistent with the actual answer as both indicate a preference for various types of music. The generated answer provides examples of different styles, which further supports the overall accuracy."
- Яку музику (стилі) ви любите слухати?,"Люблю різну музику. Класика, джаз, техно,  диско, шансон","Я люблю слухати різну музику, включаючи класику, джаз, техно, диско та шансон.",0.939315,ACCURATE,"The generated answer is factually correct and aligns with the actual answer in all details. The bot correctly interpreted the question about preferred music styles and provided a corresponding response, matching the provided actual answer."
- Назвіть 3-5 улюблених виконавців,"Imagine Dragons, Тіна Кароль, Френк Сінатра, Beyoncé ","Мої улюблені виконавці: Imagine Dragons, Тіна Кароль, Френк Сінатра, Бейонсе.",0.71814334,ACCURATE,"The generated answer contains the same musical artists as the actual answer: Imagine Dragons, Tina Karol, and Frank Sinatra. The artist Beyoncé is spelled slightly differently as Beyonсе, but it refers to the same individual and does not change the overall accuracy of the response."
- Яким типам фільмів і серіалів ви віддаєте перевагу?,"Комедія, драма, фантастика, жахи, до зустрічі з тобою","Я віддаю перевагу комедіям, драмам, фентезі і жахам.",0.9253338,ACCURATE,"The generated answer contains the same types of films and series as the actual answer, even if the word 'fantasy' is expressed as 'fентезі' in the generated answer. The order of mentioned genres is different, but it doesn't affect the semantic correctness of the generated answer."
- Назвіть 3-5 улюблених фільмів,"Зелена книга, бджоляр, оппенгеймер","Мої улюблені фільми: ""Зелена книга"", ""Бджоляр"", ""Оппенгеймер"".",0.89343685,ACCURATE,"The generated answer provides the same film titles as the actual answer, preserving the exact order and using a slightly different format."
- Назвіть 3-5 улюблених серіалів,"Тисяча і одна ніч, Чорна любов, Сутінки, Гра престолів, Голодні Ігри","Мої улюблені серіали: ""Тисяча і одна ніч"", ""Чорне кохання"", ""Сутінки"", ""Гра престолів"", ""Голодні ігри"" .",0.90695363,ACCURATE,"The generated answer is consistent with the actual answer in all details. It lists the same five TV shows as the actual answer, with only minor differences in capitalization and word choice (e.g., 'Чорне кохання' instead of 'Чорна любов', and the use of quotation marks)."
- Які книги ви читаете?,Медичні,Читаю здебільшого медичні книги.,0.7720925,ACCURATE,"The generated answer correctly states that they primarily read medical books, which aligns with the actual answer."
- Назвіть 3-5 улюблених авторів чи назв книг,,У мене немає улюблених авторів чи назв книг.,0.1749,ACCURATE,"The generated answer accurately reflects the situation when there are no favorite authors or book names. Even though the actual answer is 'nan', which typically represents a missing or undefined value, the bot's response is semantically correct and appropriate given the context of the question."
– Які види спорту вас цікавлять?,"Танці, фітнес, йога, пілатес, теніс","Мене цікавлять танці, фітнес, йога, пілатес і теніс .",0.9308666,ACCURATE,"The generated answer is identical to the actual answer, providing a correct and relevant response to the question."
– Які хобі у вас є?,"Танці, музика, малювання, спорт, перегляд фільмів, серіалів","Мої хобі включають танці, музику, малювання, спорт, перегляд фільмів та серіалів.",0.93210304,ACCURATE,"The generated answer is factually correct and aligns with the actual answer in all details. The response provides the same hobbies in the same order as the original answer, using only slightly different grammar."
- Як ви проводите вільний час?,"Проводжу час з друзями, рідними, слухаю музику, ходжу на спорт, дивлюся фільми, подорожую","Я зазвичай проводжу вільний час з друзями та родиною, слухаючи музику, займаюся спортом, дивлюся фільми або подорожую .",0.954994,ACCURATE,"The generated answer aligns with the actual answer in all facts and details. It maintains the same activities: spending time with friends and family, listening to music, doing sports, watching movies, and traveling."
- Які мистецтва чи ремесла вам цікаві?,"Музика, малювання, танці","Мене цікавлять музика, живопис, танці .",0.91770756,ACCURATE,"The generated answer is semantically equivalent to the actual answer. It correctly identifies the arts and crafts that it is interested in, albeit with slightly different wording."
- Які види розваг вам подобаються?,"Кінотеатр, парк розваг, фестивалі, концерти","Мені подобаються такі розваги, як кіно, парк розваг, фестивалі та концерти.",0.92339915,ACCURATE,"The generated answer correctly identifies the same types of entertainment as the actual answer: cinema, amusement park, festivals, and concerts. The differences in wording do not affect the semantic correctness."
- У які ігри ви граєте (самостійно чи з друзями)?,Настільні,Я зазвичай граю в настільні ігри з друзями.,0.7680068,ACCURATE,"The generated answer is consistent with the actual answer. Both indicate that the games played are tabletop games. The generated answer adds the context of playing with friends, which doesn't contradict the original answer."
- Які нові інтереси ви хочете спробувати?,"Екстремальний спорт, стрибок з парашутом","Я хочу спробувати екстремальні види спорту, такі як стрибки з парашутом .",0.8950626,ACCURATE,"The generated answer aligns with the actual answer in all facts and details. It captures the intent of exploring new interests and specifies the interest as extreme sports, including skydiving."
- Які країни ви вже завітали?,"Лондон, Франція, Італія, Туреччина, Венеція, Прага, Польща, Норвегія","Я вже відвідала Лондон, Францію, Італію, Туреччину, Венецію, Прагу, Польщу і Норвегію.",0.92177665,ACCURATE,The generated answer is identical to the actual answer. It lists the same countries in the same order.
- Які культури вас особливо зацікавили?,"Лондон, Франція, Італія","Мене найбільше зацікавили культури Лондона, Франції та Італії .",0.8365929,ACCURATE,The generated answer is semantically equivalent to the actual answer and correctly answers the question.
- Які визначні пам'ятки ви мрієте побачити?,"Статуя Свободи, полярне сяйво, велика китайська стіна, Колізей, ","Я мрію побачити такі визначні пам'ятки: статую Свободи, північне сяйво, Велику Китайську стіну та Колізей .",0.9252401,ACCURATE,"The generated answer is semantically equivalent to the actual answer. All the mentioned landmarks (Statue of Liberty, Northern Lights, Great Wall of China, and Colosseum) are the same as in the actual answer."
"- Які види подорожей вам подобаються: пригодницькі, пляжні, культурні тощо?","Пляжні, пригодницькі, мандри водним транспортом, культурний туризм, лижний туризм, круїз","Мені подобаються пляжні, пригодницькі, культурні подорожі, водні тури, гірськолижні тури та круїзи .",0.92661965,ACCURATE,"The bot answer contains the same types of travels as the actual answer, only changing the order and adding a comma after each item. It is semantically correct and complete."
- Які країни чи міста ви рекомендуєте відвідувати?,Лондон,"Я рекомендую відвідати Лондон, Францію, Італію, Туреччину, Венецію, Прагу, Польщу, Норвегію .",0.72883666,PARTICALLY_ACCURATE,"The generated answer includes the recommended city, London, but also adds several other countries and cities that were not mentioned in the actual answer. While London is correct, the inclusion of additional unmentioned locations makes the answer partially inaccurate."
- Які місцеві страви та напої ви любите куштувати під час подорожей?,Національні,У подорожах завжди стараюсь спробувати національну кухню,0.74136317,ACCURATE,"The generated answer matches the actual answer and the intent of the question, which asks about trying local dishes during travels. The response indicates a desire to try national food, thus aligning with the original answer and the question's context."
